millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
2123611,2021,9,25,18,1,19,4.31,12,0.72,6485.70,85.7,9.9,47.17164230,-120.63544464,-9.42,45283.87,6299.16,23.29,
2124616,2021,9,25,18,1,20,4.31,12,0.72,6485.70,79.6,9.1,47.17165374,-120.63532257,-9.44,45261.37,6302.76,23.19,
2125620,2021,9,25,18,1,21,4.28,12,0.72,6485.70,81.6,7.9,47.17166900,-120.63521575,-9.44,45243.77,6305.57,23.11,
2126625,2021,9,25,18,1,22,4.31,12,0.72,6485.70,81.1,8.6,47.17167663,-120.63510894,-9.55,45232.92,6307.31,23.02,
2127628,2021,9,25,18,1,23,4.28,12,0.72,6485.70,79.2,9.6,47.17169189,-120.63498687,-9.44,45215.20,6310.14,22.82,
2128632,2021,9,25,18,1,24,4.31,12,0.72,6485.70,81.5,8.9,47.17170715,-120.63486480,-9.44,45194.08,6313.52,22.74,
2129636,2021,9,25,18,1,25,4.31,12,0.72,6485.70,87.7,8.6,47.17171478,-120.63475036,-9.42,45180.95,6315.62,22.87,
2130641,2021,9,25,18,1,26,4.34,12,0.72,6591.10,87.2,10.1,47.17171859,-120.63462829,-9.42,45164.40,6318.27,22.63,
2131645,2021,9,25,18,1,27,4.31,12,0.72,6594.10,83.6,11.2,47.17172622,-120.63449096,-9.44,45144.17,6321.52,22.65,
2132651,2021,9,25,18,1,28,4.34,12,0.72,6597.00,83.6,10.4,47.17173767,-120.63434600,-9.49,45132.75,6323.35,22.13,
2133653,2021,9,25,18,1,29,4.31,12,0.72,6599.90,84.0,10.1,47.17174911,-120.63420867,-9.49,45107.70,6327.36,22.78,
2134660,2021,9,25,18,1,30,4.31,12,0.72,6602.90,79.9,11.4,47.17176437,-120.63407135,-9.51,45091.81,6329.91,22.75,
2135664,2021,9,25,18,1,31,4.31,12,0.72,6605.60,76.5,11.6,47.17178726,-120.63391876,-9.66,45074.94,6332.62,22.64,
2136669,2021,9,25,18,1,32,4.31,12,0.72,6608.20,77.1,10.1,47.17180633,-120.63378143,-9.71,45060.83,6334.88,22.63,
2137673,2021,9,25,18,1,33,4.31,12,0.72,6610.90,78.6,9.6,47.17182540,-120.63365936,-9.73,45040.82,6338.09,22.58,
2138678,2021,9,25,18,1,34,4.31,12,0.72,6613.80,79.2,10.2,47.17184448,-120.63352966,-9.75,45022.04,6341.10,22.38,
2139683,2021,9,25,18,1,35,4.31,12,0.72,6616.80,83.4,9.2,47.17185592,-120.63339996,-9.79,45010.57,6342.95,22.41,
2140688,2021,9,25,18,1,36,4.34,12,0.72,6619.40,91.2,7.7,47.17185974,-120.63329315,-9.81,44997.23,6345.09,22.65,
2141691,2021,9,25,18,1,37,4.31,12,0.72,6624.60,86.9,9.0,47.17186355,-120.63317871,-9.77,44979.09,6348.00,22.20,
2142696,2021,9,25,18,1,38,4.28,12,0.72,6627.80,82.2,10.3,47.17187118,-120.63304901,-9.79,44955.55,6351.79,21.92,
2143699,2021,9,25,18,1,39,4.31,12,0.72,6631.00,83.3,9.3,47.17188262,-120.63292694,-9.83,44937.49,6354.69,21.96,
2144704,2021,9,25,18,1,40,4.28,12,0.72,6633.50,80.7,9.0,47.17189407,-120.63280487,-9.80,44926.01,6356.54,21.86,
2145705,2021,9,25,18,1,41,4.31,12,0.72,6635.60,77.3,10.4,47.17191314,-120.63267517,-9.79,44914.58,6358.38,21.78,
2146710,2021,9,25,18,1,42,4.31,12,0.79,6637.80,79.1,10.9,47.17193222,-120.63253784,-9.83,44902.72,6360.28,21.57,
2147715,2021,9,25,18,1,43,4.31,12,0.72,6640.70,81.8,9.8,47.17194366,-120.63240814,-9.88,44883.68,6363.35,21.47,
2148718,2021,9,25,18,1,44,4.31,12,0.72,6644.10,83.5,9.7,47.17195510,-120.63227844,-9.94,44861.95,6366.85,21.59,
2149722,2021,9,25,18,1,45,4.31,12,0.72,6647.40,89.2,10.6,47.17195892,-120.63214874,-9.99,44840.63,6370.28,21.14,
2150725,2021,9,25,18,1,46,4.31,12,0.72,6650.70,95.1,10.6,47.17195510,-120.63200378,-10.09,44822.80,6373.15,20.93,
2151730,2021,9,25,18,1,47,4.28,12,0.72,6654.30,91.2,9.8,47.17195129,-120.63187408,-10.10,44802.16,6376.48,20.75,
2152734,2021,9,25,18,1,48,4.34,12,0.72,6657.80,80.6,10.2,47.17195892,-120.63174438,-10.12,44783.40,6379.51,20.52,
2153740,2021,9,25,18,1,49,4.31,12,0.72,6661.00,80.3,11.1,47.17197418,-120.63159942,-10.11,44758.33,6383.55,20.31,
2154744,2021,9,25,18,1,50,4.31,12,0.72,6663.90,86.0,10.7,47.17198562,-120.63146209,-10.11,44742.01,6386.18,20.13,
2155750,2021,9,25,18,1,51,4.25,11,0.76,6666.50,84.3,10.2,47.17199325,-120.63132476,-10.14,44727.43,6388.54,19.94,
2156755,2021,9,25,18,1,52,4.31,12,0.72,6669.10,79.6,10.7,47.17200851,-120.63118743,-10.12,44712.48,6390.95,19.81,
2157759,2021,9,25,18,1,53,4.31,12,0.72,6672.20,83.6,10.8,47.17201995,-120.63105010,-10.14,44696.21,6393.58,19.50,
2158765,2021,9,25,18,1,54,4.31,12,0.72,6675.60,88.0,10.0,47.17202758,-120.63091278,-10.16,44668.97,6397.98,19.50,
2159769,2021,9,25,18,1,55,4.31,12,0.72,6678.70,87.5,9.1,47.17203140,-120.63079071,-10.14,44657.94,6399.76,19.18,
2160774,2021,9,25,18,1,56,4.28,12,0.72,6681.40,92.7,9.0,47.17203140,-120.63066864,-10.13,44640.96,6402.51,19.20,
2161777,2021,9,25,18,1,57,4.31,12,0.72,6684.10,97.2,9.7,47.17201995,-120.63054656,-10.17,44626.00,6404.92,19.13,
2162782,2021,9,25,18,1,58,4.28,12,0.72,6687.30,91.8,9.6,47.17201614,-120.63042449,-10.24,44611.42,6407.28,18.96,
2163785,2021,9,25,18,1,59,4.25,12,0.72,6690.50,83.8,9.6,47.17201995,-120.63029479,-10.25,44589.95,6410.76,18.51,
2164790,2021,9,25,18,2,0,4.31,12,0.72,6693.50,81.4,10.6,47.17203140,-120.63016510,-10.22,44577.02,6412.85,18.57,
2165793,2021,9,25,18,2,1,4.28,12,0.72,6696.30,83.8,10.8,47.17204666,-120.63002777,-10.21,44555.66,6416.31,18.41,
2166798,2021,9,25,18,2,2,4.28,12,0.72,6699.00,83.5,10.0,47.17205429,-120.62989044,-10.19,44540.26,6418.80,18.24,
2167801,2021,9,25,18,2,3,4.31,12,0.72,6701.70,81.6,9.9,47.17206573,-120.62976074,-10.18,44525.57,6421.18,18.30,
2168806,2021,9,25,18,2,4,4.31,12,0.72,6704.70,83.9,10.9,47.17207717,-120.62962341,-10.18,44505.72,6424.40,17.92,
2169809,2021,9,25,18,2,5,4.31,12,0.72,6707.80,90.9,11.1,47.17208099,-120.62947845,-10.17,44490.76,6426.82,17.81,
2170814,2021,9,25,18,2,6,4.28,12,0.72,6710.60,98.7,10.5,47.17207336,-120.62934112,-10.23,44470.97,6430.03,18.00,
2171819,2021,9,25,18,2,7,4.28,4,1.90,6713.30,91.0,10.4,47.17206573,-120.62920379,-10.34,44454.28,6432.74,17.60,
2172822,2021,9,25,18,2,8,4.31,11,0.75,6716.40,91.9,11.0,47.17205810,-120.62905883,-10.42,44436.84,6435.57,17.41,
2173825,2021,9,25,18,2,9,4.28,12,0.75,6719.20,95.2,10.6,47.17205429,-120.62891387,-10.48,44422.23,6437.94,17.30,
2174830,2021,9,25,18,2,10,4.31,12,0.73,6721.80,98.8,9.9,47.17204666,-120.62878417,-10.65,44407.03,6440.41,17.19,
2175834,2021,9,25,18,2,11,4.28,12,0.72,6724.70,95.2,10.0,47.17203140,-120.62864685,-10.71,44391.84,6442.88,17.11,
2176839,2021,9,25,18,2,12,4.28,12,0.72,6727.50,92.9,10.6,47.17202377,-120.62851715,-10.78,44368.16,6446.72,17.06,
2177840,2021,9,25,18,2,13,4.34,12,0.72,6730.60,93.6,10.4,47.17201614,-120.62837982,-10.82,44352.64,6449.24,17.17,
2178845,2021,9,25,18,2,14,4.28,12,0.72,6733.50,87.3,10.1,47.17201232,-120.62825012,-10.81,44335.88,6451.97,16.98,
2179849,2021,9,25,18,2,15,4.31,12,0.72,6736.00,80.6,10.9,47.17202377,-120.62811279,-10.81,44323.68,6453.95,17.01,
2180853,2021,9,25,18,2,16,4.31,12,0.72,6738.60,84.5,10.9,47.17203521,-120.62796783,-10.79,44305.42,6456.92,16.90,
2181856,2021,9,25,18,2,17,4.34,11,0.79,6741.70,88.1,10.1,47.17204284,-120.62783050,-10.76,44288.11,6459.74,16.85,
2182859,2021,9,25,18,2,18,4.31,12,0.79,6744.90,85.1,10.0,47.17205047,-120.62770080,-10.73,44272.71,6462.24,16.95,
2183863,2021,9,25,18,2,19,4.34,12,0.72,6748.10,91.0,9.9,47.17205429,-120.62757110,-10.72,44257.18,6464.77,16.57,
2184866,2021,9,25,18,2,20,4.34,12,0.72,6751.00,99.0,9.7,47.17204666,-120.62744140,-10.76,44238.73,6467.78,16.75,
2185868,2021,9,25,18,2,21,4.31,12,0.72,6754.10,95.3,9.6,47.17203521,-120.62731933,-10.78,44215.52,6471.56,16.70,
2186871,2021,9,25,18,2,22,4.31,12,0.72,6757.50,89.7,9.9,47.17203140,-120.62718963,-10.87,44196.50,6474.66,16.68,
2187874,2021,9,25,18,2,23,4.31,12,0.72,6760.70,90.3,10.5,47.17203140,-120.62705230,-10.86,44179.75,6477.39,16.67,
2188878,2021,9,25,18,2,24,4.28,12,0.72,6763.40,89.1,11.4,47.17203140,-120.62690734,-10.82,44164.66,6479.85,16.62,
2189881,2021,9,25,18,2,25,4.28,12,0.72,6765.60,85.8,11.6,47.17203903,-120.62676239,-10.83,44148.42,6482.50,16.61,
2190885,2021,9,25,18,2,26,4.34,12,0.72,6767.80,87.1,10.9,47.17204284,-120.62660980,-10.80,44135.22,6484.65,16.58,
2191888,2021,9,25,18,2,27,4.28,12,0.72,6770.60,90.2,10.9,47.17204284,-120.62647247,-10.76,44117.07,6487.61,16.56,
2192892,2021,9,25,18,2,28,4.31,12,0.72,6774.00,88.8,11.5,47.17204666,-120.62631988,-10.73,44100.23,6490.36,16.56,
2193895,2021,9,25,18,2,29,4.34,12,0.72,6777.60,91.0,10.9,47.17204284,-120.62617492,-10.72,44079.08,6493.82,16.52,
2194899,2021,9,25,18,2,30,4.31,12,0.72,6780.70,100.4,9.7,47.17203521,-120.62604522,-10.69,44055.00,6497.75,16.76,
2195903,2021,9,25,18,2,31,4.31,12,0.72,6783.80,102.2,10.0,47.17201614,-120.62591552,-10.70,44033.73,6501.23,16.48,
2196909,2021,9,25,18,2,32,4.34,12,0.72,6787.30,95.7,10.8,47.17200088,-120.62577819,-10.72,44014.84,6504.32,16.38,
2197913,2021,9,25,18,2,33,4.31,12,0.72,6791.20,94.0,10.7,47.17199325,-120.62563323,-10.71,43995.39,6507.50,16.41,
2198918,2021,9,25,18,2,34,4.31,12,0.72,6794.70,96.7,10.9,47.17198562,-120.62549591,-10.68,43973.96,6511.01,16.42,
2199922,2021,9,25,18,2,35,4.31,12,0.72,6797.50,96.6,12.2,47.17197418,-120.62534332,-10.68,43960.52,6513.20,16.40,
2200928,2021,9,25,18,2,36,4.34,12,0.72,6800.00,94.2,12.6,47.17196273,-120.62517547,-10.78,43944.50,6515.83,16.37,
2201932,2021,9,25,18,2,37,4.34,12,0.72,6802.90,95.5,11.7,47.17195129,-120.62501525,-10.69,43929.15,6518.34,16.34,
2202933,2021,9,25,18,2,38,4.28,12,0.72,6806.20,99.6,11.1,47.17193984,-120.62487030,-10.67,43908.39,6521.74,16.32,
2203937,2021,9,25,18,2,39,4.31,12,0.72,6809.50,101.4,11.1,47.17192077,-120.62472534,-10.66,43888.76,6524.96,16.33,
2204940,2021,9,25,18,2,40,4.28,12,0.72,6812.20,103.7,10.4,47.17189788,-120.62458801,-10.69,43874.04,6527.38,16.35,
2205946,2021,9,25,18,2,41,4.31,12,0.72,6814.90,104.7,9.9,47.17187500,-120.62445831,-10.76,43859.09,6529.83,16.56,
2206947,2021,9,25,18,2,42,4.28,12,0.72,6817.60,101.8,10.3,47.17185592,-120.62432861,-10.86,43843.08,6532.45,16.41,
2207949,2021,9,25,18,2,43,4.28,12,0.72,6820.40,101.5,10.6,47.17183685,-120.62419128,-10.93,43828.80,6534.80,16.47,
2208951,2021,9,25,18,2,44,4.28,12,0.72,6823.50,102.8,10.4,47.17181777,-120.62405395,-11.01,43809.19,6538.01,16.33,
2209952,2021,9,25,18,2,45,4.28,12,0.72,6826.50,98.0,10.6,47.17179870,-120.62391662,-11.06,43797.89,6539.87,16.42,
2210954,2021,9,25,18,2,46,4.31,12,0.72,6828.90,88.8,11.0,47.17179489,-120.62377929,-11.06,43785.31,6541.93,16.73,
2211959,2021,9,25,18,2,47,4.31,12,0.72,6831.20,87.1,10.8,47.17179870,-120.62363433,-11.10,43768.98,6544.62,16.74,
2212961,2021,9,25,18,2,48,4.34,12,0.72,6834.00,94.7,10.3,47.17179870,-120.62349700,-11.00,43755.26,6546.87,16.75,
2213966,2021,9,25,18,2,49,4.28,12,0.72,6837.00,96.1,10.7,47.17178726,-120.62335968,-10.98,43732.42,6550.62,16.59,
2214967,2021,9,25,18,2,50,4.28,12,0.72,6839.80,98.0,10.8,47.17177581,-120.62321472,-10.95,43718.42,6552.93,16.87,
2215972,2021,9,25,18,2,51,4.31,12,0.72,6842.20,105.2,10.3,47.17175674,-120.62308502,-11.06,43701.46,6555.72,16.95,
2216975,2021,9,25,18,2,52,4.25,12,0.72,6845.00,103.6,10.0,47.17173385,-120.62295532,-11.13,43684.93,6558.44,17.01,
2217980,2021,9,25,18,2,53,4.31,12,0.72,6848.40,98.0,10.3,47.17171478,-120.62281799,-11.17,43668.02,6561.22,16.86,
2218982,2021,9,25,18,2,54,4.31,12,0.72,6851.90,97.6,10.5,47.17170333,-120.62268066,-11.15,43647.66,6564.57,17.16,
2219983,2021,9,25,18,2,55,4.31,12,0.72,6854.80,93.5,10.2,47.17169570,-120.62255096,-11.10,43631.12,6567.29,17.38,
2220984,2021,9,25,18,2,56,4.31,12,0.72,6857.20,85.5,10.4,47.17169570,-120.62241363,-11.20,43617.81,6569.49,17.19,
2221989,2021,9,25,18,2,57,4.31,12,0.72,6859.80,88.7,10.3,47.17169952,-120.62227630,-11.16,43600.89,6572.28,17.11,
2222990,2021,9,25,18,2,58,4.31,12,0.72,6862.90,96.9,9.7,47.17169570,-120.62214660,-11.11,43584.71,6574.94,17.24,
2223994,2021,9,25,18,2,59,4.31,12,0.72,6866.00,96.9,9.4,47.17168426,-120.62202453,-11.08,43563.68,6578.41,17.49,
2225000,2021,9,25,18,3,0,4.31,12,0.72,6868.60,99.2,9.1,47.17167282,-120.62190246,-11.07,43549.58,6580.73,17.59,
2226002,2021,9,25,18,3,1,4.28,12,0.72,6871.30,102.8,9.1,47.17165756,-120.62178802,-11.05,43528.64,6584.19,17.93,
2227008,2021,9,25,18,3,2,4.31,12,0.72,6874.30,101.7,9.1,47.17164230,-120.62166595,-11.08,43513.76,6586.64,17.95,
2228013,2021,9,25,18,3,3,4.28,12,0.72,6877.70,96.3,9.0,47.17162704,-120.62155151,-11.09,43493.56,6589.98,18.28,
2229016,2021,9,25,18,3,4,4.34,12,0.72,6880.80,90.5,9.5,47.17162322,-120.62142944,-11.08,43480.89,6592.07,18.38,
2230020,2021,9,25,18,3,5,4.31,12,0.72,6883.50,87.5,10.6,47.17162704,-120.62129211,-11.10,43463.25,6594.99,18.68,
2231025,2021,9,25,18,3,6,4.31,12,0.72,6886.30,89.7,10.1,47.17162704,-120.62115478,-11.06,43445.07,6597.99,18.95,
2232030,2021,9,25,18,3,7,4.37,12,0.72,6889.30,91.9,8.9,47.17162704,-120.62103271,-11.06,43428.78,6600.68,19.37,
2233033,2021,9,25,18,3,8,4.28,12,0.72,6892.30,94.3,8.7,47.17162322,-120.62091827,-11.09,43408.29,6604.07,19.58,
2234037,2021,9,25,18,3,9,4.28,12,0.72,6894.90,101.4,9.2,47.17160797,-120.62080383,-11.09,43393.24,6606.56,19.79,
2235041,2021,9,25,18,3,10,4.31,12,0.72,6897.40,106.2,9.3,47.17158889,-120.62068176,-11.15,43378.92,6608.93,20.21,
2236042,2021,9,25,18,3,11,4.31,12,0.72,6900.00,102.2,9.0,47.17156982,-120.62056732,-11.20,43361.49,6611.81,20.48,
2237043,2021,9,25,18,3,12,4.31,12,0.72,6903.00,99.4,9.3,47.17155456,-120.62045288,-11.20,43345.01,6614.54,21.26,
2238048,2021,9,25,18,3,13,4.31,12,0.72,6905.90,102.8,9.8,47.17153549,-120.62032318,-11.29,43326.12,6617.67,21.57,
2239049,2021,9,25,18,3,14,4.31,12,0.72,6908.70,104.5,10.0,47.17151641,-120.62020111,-11.45,43313.03,6619.84,22.18,
2240050,2021,9,25,18,3,15,4.25,12,0.72,6911.30,102.7,10.2,47.17149353,-120.62007141,-11.53,43298.26,6622.29,22.49,
2241051,2021,9,25,18,3,16,4.28,12,0.72,6914.10,101.8,10.5,47.17147445,-120.61993408,-11.56,43282.55,6624.89,22.96,
2242052,2021,9,25,18,3,17,4.28,12,0.72,6917.10,101.4,10.5,47.17145538,-120.61979675,-11.62,43264.35,6627.91,23.44,
2243057,2021,9,25,18,3,18,4.34,12,0.72,6920.10,97.6,9.8,47.17144012,-120.61966705,-11.65,43248.46,6630.55,23.52,
2244061,2021,9,25,18,3,19,4.31,12,0.72,6922.80,92.0,9.2,47.17143630,-120.61954498,-11.62,43233.80,6632.98,23.68,
2245065,2021,9,25,18,3,20,4.31,12,0.72,6925.20,88.2,9.1,47.17143630,-120.61942291,-11.60,43224.00,6634.60,23.77,
2246070,2021,9,25,18,3,21,4.31,12,0.72,6927.60,87.2,9.5,47.17144012,-120.61930084,-11.59,43207.05,6637.42,23.83,
2247074,2021,9,25,18,3,22,4.31,12,0.72,6930.30,87.7,10.4,47.17144393,-120.61917114,-11.57,43196.02,6639.25,23.90,
2248079,2021,9,25,18,3,23,4.31,12,0.72,6933.20,89.1,10.9,47.17144393,-120.61902618,-11.53,43177.36,6642.35,23.93,
2249085,2021,9,25,18,3,24,4.31,12,0.72,6935.90,93.9,11.6,47.17144393,-120.61887359,-11.46,43162.14,6644.88,23.96,
2250090,2021,9,25,18,3,25,4.37,12,0.72,6938.50,96.6,12.3,47.17143249,-120.61872100,-11.48,43144.52,6647.81,23.48,
2251097,2021,9,25,18,3,26,4.31,12,0.72,6941.20,93.4,11.9,47.17142486,-120.61856079,-11.44,43130.23,6650.18,23.89,
2252101,2021,9,25,18,3,27,4.28,12,0.72,6944.30,91.6,11.3,47.17142105,-120.61840820,-11.42,43107.39,6653.98,23.78,
2253102,2021,9,25,18,3,28,4.31,12,0.72,6947.30,93.1,10.5,47.17141723,-120.61826324,-11.43,43093.20,6656.34,23.66,
2254106,2021,9,25,18,3,29,4.28,12,0.72,6949.90,90.6,9.2,47.17141342,-120.61813354,-11.47,43081.11,6658.35,23.52,
2255107,2021,9,25,18,3,30,4.31,12,0.72,6952.90,86.6,9.7,47.17141723,-120.61801147,-11.53,43055.89,6662.55,23.25,
2256110,2021,9,25,18,3,31,4.31,12,0.72,6956.20,89.5,10.9,47.17142105,-120.61787414,-11.50,43039.24,6665.32,23.29,
2257111,2021,9,25,18,3,32,4.28,12,0.72,6959.20,94.8,11.4,47.17141723,-120.61772918,-11.47,43026.65,6667.42,23.24,
2258115,2021,9,25,18,3,33,4.31,12,0.72,6962.10,95.1,12.1,47.17140579,-120.61756896,-11.43,43008.46,6670.45,23.45,
2259116,2021,9,25,18,3,34,4.31,11,0.79,6965.10,92.5,12.2,47.17139816,-120.61740875,-11.42,42983.80,6674.56,23.22,
2260121,2021,9,25,18,3,35,4.34,11,0.79,6968.20,93.3,11.4,47.17139434,-120.61725616,-11.42,42975.14,6676.00,23.18,
2261122,2021,9,25,18,3,36,4.34,12,0.79,6970.90,97.9,10.7,47.17138671,-120.61711120,-11.43,42960.77,6678.40,23.08,
2262127,2021,9,25,18,3,37,4.31,12,0.72,6973.50,98.7,10.7,47.17137145,-120.61697387,-11.46,42944.32,6681.14,22.93,
2263128,2021,9,25,18,3,38,4.34,12,0.72,6976.30,93.8,11.0,47.17136383,-120.61682891,-11.54,42931.58,6683.27,22.67,
2264132,2021,9,25,18,3,39,4.31,12,0.72,6979.30,92.7,10.8,47.17135620,-120.61668395,-11.59,42910.46,6686.79,22.87,
2265133,2021,9,25,18,3,40,4.31,12,0.72,6982.10,88.9,11.1,47.17135620,-120.61653900,-11.56,42899.98,6688.54,22.32,
2266138,2021,9,25,18,3,41,4.31,12,0.72,6984.70,81.9,11.9,47.17136764,-120.61638641,-11.60,42879.82,6691.91,21.99,
2267139,2021,9,25,18,3,42,4.28,12,0.72,6987.60,82.4,11.6,47.17137908,-120.61623382,-11.56,42863.24,6694.68,21.70,
2268143,2021,9,25,18,3,43,4.31,12,0.72,6990.80,88.0,11.0,47.17138671,-120.61608886,-11.55,42846.48,6697.48,21.57,
2269145,2021,9,25,18,3,44,4.31,12,0.72,6993.80,90.3,11.4,47.17139053,-120.61594390,-11.55,42827.92,6700.58,21.50,
2270150,2021,9,25,18,3,45,4.31,12,0.72,6996.10,93.3,11.6,47.17138290,-120.61579132,-11.55,42821.73,6701.62,21.62,
2271151,2021,9,25,18,3,46,4.28,12,0.72,6998.30,94.7,11.3,47.17137527,-120.61563873,-11.65,42804.66,6704.47,21.68,
2272154,2021,9,25,18,3,47,4.34,12,0.72,7000.80,90.5,10.9,47.17137145,-120.61549377,-11.71,42788.80,6707.12,21.79,
2273155,2021,9,25,18,3,48,4.34,12,0.72,7003.90,89.2,11.2,47.17137145,-120.61534881,-11.73,42773.49,6709.69,21.88,
2274160,2021,9,25,18,3,49,4.31,12,0.72,7006.90,88.7,11.1,47.17137527,-120.61520385,-11.76,42758.01,6712.28,21.96,
2275166,2021,9,25,18,3,50,4.31,12,0.72,7009.70,81.4,10.2,47.17138290,-120.61506652,-11.76,42739.64,6715.35,22.18,
2276170,2021,9,25,18,3,51,4.28,12,0.72,7012.50,79.3,10.3,47.17139816,-120.61492919,-11.75,42718.99,6718.82,22.11,
2277175,2021,9,25,18,3,52,4.28,12,0.72,7015.40,84.1,11.1,47.17141342,-120.61479187,-11.74,42699.08,6722.15,22.16,
2278180,2021,9,25,18,3,53,4.31,12,0.72,7018.40,84.2,11.1,47.17142105,-120.61464691,-11.72,42688.91,6723.85,21.91,
2279182,2021,9,25,18,3,54,4.31,12,0.72,7021.30,81.9,10.9,47.17143630,-120.61450195,-11.69,42669.09,6727.18,22.24,
2280186,2021,9,25,18,3,55,4.31,12,0.72,7023.70,87.2,12.1,47.17144393,-120.61434936,-11.75,42657.14,6729.18,22.28,
2281188,2021,9,25,18,3,56,4.37,12,0.72,7025.90,91.5,13.1,47.17144393,-120.61418151,-11.80,42638.35,6732.34,22.33,
2282192,2021,9,25,18,3,57,4.31,12,0.72,7028.50,87.4,11.9,47.17144393,-120.61402130,-11.90,42623.79,6734.78,22.37,
2283193,2021,9,25,18,3,58,4.37,12,0.72,7031.70,84.2,11.4,47.17145156,-120.61386871,-11.95,42609.95,6737.10,22.44,
2284198,2021,9,25,18,3,59,4.31,12,0.72,7034.70,88.2,11.5,47.17145919,-120.61371612,-11.93,42592.90,6739.97,22.32,
2285199,2021,9,25,18,4,0,4.31,11,0.76,7037.30,88.8,9.9,47.17146301,-120.61357879,-11.90,42581.93,6741.81,22.54,
2286201,2021,9,25,18,4,1,4.31,12,0.72,7040.20,83.8,9.3,47.17146682,-120.61344909,-11.91,42559.11,6745.64,22.60,
2287205,2021,9,25,18,4,2,4.31,12,0.78,7043.60,85.1,10.9,47.17147445,-120.61331939,-11.93,42539.92,6748.87,22.67,
2288208,2021,9,25,18,4,3,4.28,12,0.78,7047.10,90.0,11.5,47.17147827,-120.61316680,-11.90,42521.53,6751.96,22.73,
2289213,2021,9,25,18,4,4,4.34,12,0.72,7049.90,90.8,11.3,47.17147827,-120.61301422,-11.83,42501.30,6755.36,22.79,
2290217,2021,9,25,18,4,5,4.31,12,0.79,7052.70,87.4,11.9,47.17148208,-120.61286163,-11.83,42491.78,6756.97,22.81,
2291222,2021,9,25,18,4,6,4.31,12,0.72,7055.80,87.7,12.2,47.17148590,-120.61270141,-11.82,42472.73,6760.17,22.89,
2292226,2021,9,25,18,4,7,4.31,12,0.72,7059.20,89.4,11.1,47.17148971,-120.61254882,-11.81,42457.60,6762.72,23.29,
2293229,2021,9,25,18,4,8,4.31,12,0.72,7059.20,86.1,9.5,47.17149353,-120.61241912,-11.88,42438.76,6765.89,22.80,
2294230,2021,9,25,18,4,9,4.28,12,0.72,7065.10,86.1,9.5,47.17150115,-120.61229705,-11.98,42427.55,6767.78,22.80,
2295233,2021,9,25,18,4,10,4.28,12,0.72,7068.10,86.1,9.5,47.17151260,-120.61216735,-12.05,42407.47,6771.16,22.79,
2296237,2021,9,25,18,4,11,4.31,12,0.72,7071.30,86.1,9.5,47.17152023,-120.61203765,-12.12,42387.39,6774.55,22.80,
2297241,2021,9,25,18,4,12,4.31,12,0.72,7074.50,86.1,9.5,47.17152404,-120.61190795,-12.12,42372.93,6776.99,22.83,
2298245,2021,9,25,18,4,13,4.31,12,0.72,7077.40,86.1,9.5,47.17153167,-120.61176300,-12.05,42359.07,6779.32,22.81,
2299249,2021,9,25,18,4,14,4.31,12,0.72,7079.90,86.1,9.5,47.17152786,-120.61161804,-12.06,42345.96,6781.54,22.81,
2300252,2021,9,25,18,4,15,4.34,12,0.72,7082.50,86.1,9.5,47.17151641,-120.61147308,-12.06,42327.60,6784.63,22.82,
2301255,2021,9,25,18,4,16,4.31,12,0.72,7085.40,86.1,9.5,47.17151260,-120.61132812,-12.10,42310.16,6787.58,22.83,
2302258,2021,9,25,18,4,17,4.34,12,0.72,7088.40,86.1,9.5,47.17151641,-120.61119079,-12.09,42289.89,6791.00,22.81,
2303262,2021,9,25,18,4,18,4.34,11,0.79,7091.00,86.1,9.5,47.17152023,-120.61105346,-12.05,42285.08,6791.81,22.96,
2304265,2021,9,25,18,4,19,4.28,12,0.79,7093.00,86.1,9.5,47.17153167,-120.61092376,-12.09,42270.11,6794.35,22.91,
2305269,2021,9,25,18,4,20,4.31,12,0.79,7095.30,86.1,9.5,47.17154312,-120.61080169,-12.02,42257.47,6796.48,23.05,
2306272,2021,9,25,18,4,21,4.31,12,0.72,7098.20,86.1,9.5,47.17155075,-120.61067199,-12.01,42235.28,6800.23,22.75,
2307275,2021,9,25,18,4,21,4.31,12,0.72,7098.20,86.1,9.5,47.17155075,-120.61067199,-12.01,42219.21,6802.95,22.77,
2308277,2021,9,25,18,4,21,4.31,12,0.72,7098.20,86.1,9.5,47.17155075,-120.61067199,-12.04,42202.82,6805.72,22.65,
2309281,2021,9,25,18,4,24,4.31,12,0.72,7107.60,86.1,9.5,47.17155456,-120.61027526,-12.04,42180.93,6809.43,22.60,
2310284,2021,9,25,18,4,24,4.37,12,0.72,7107.60,86.1,9.5,47.17155456,-120.61027526,-12.04,42170.00,6811.28,22.51,
2311286,2021,9,25,18,4,24,4.28,12,0.72,7107.60,86.1,9.5,47.17155456,-120.61027526,-12.08,42155.89,6813.67,22.42,
2312288,2021,9,25,18,4,24,4.31,12,0.72,7107.60,86.1,9.5,47.17155456,-120.61027526,-12.05,42134.08,6817.36,22.36,
2313291,2021,9,25,18,4,24,4.28,12,0.72,7107.60,86.1,9.5,47.17155456,-120.61027526,-12.02,42119.01,6819.91,22.27,
