millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
54716,2021,9,25,17,26,50,4.40,6,2.02,655.20,0.0,0.1,47.16080093,-120.84831237,19.75,93896.90,637.65,41.02,
55721,2021,9,25,17,26,51,4.37,6,2.02,654.80,0.0,0.1,47.16079711,-120.84831237,19.75,93892.55,638.04,40.32,
56726,2021,9,25,17,26,52,4.37,7,1.86,653.90,0.0,0.2,47.16079711,-120.84831237,19.76,93894.13,637.90,40.23,
57728,2021,9,25,17,26,53,4.46,7,1.86,653.30,0.0,0.0,47.16079330,-120.84831237,19.76,93891.36,638.14,40.29,
58732,2021,9,25,17,26,54,4.37,7,1.86,652.50,0.0,0.1,47.16078948,-120.84831237,19.77,93891.75,638.11,40.15,
59734,2021,9,25,17,26,55,4.40,7,1.86,651.70,0.0,0.1,47.16078567,-120.84831237,19.76,93893.21,637.98,40.43,
60742,2021,9,25,17,26,56,4.37,7,1.86,651.70,0.0,0.1,47.16078186,-120.84831237,19.75,93888.60,638.39,40.19,
61747,2021,9,25,17,26,57,4.40,7,1.86,650.70,0.0,0.0,47.16077804,-120.84831237,19.77,93893.08,637.99,40.11,
62751,2021,9,25,17,26,58,4.37,7,1.86,650.30,0.0,0.0,47.16077804,-120.84831237,19.77,93896.50,637.69,40.34,
63752,2021,9,25,17,26,59,4.37,7,1.86,649.80,0.0,0.1,47.16077804,-120.84831237,19.79,93892.31,638.06,40.05,
64757,2021,9,25,17,27,0,4.43,7,1.86,649.30,0.0,0.1,47.16077423,-120.84831237,19.79,93895.35,637.79,40.01,
65762,2021,9,25,17,27,1,4.37,7,1.86,648.80,0.0,0.0,47.16077041,-120.84830474,19.79,93895.87,637.74,40.52,
66765,2021,9,25,17,27,2,4.40,7,1.86,648.60,0.0,0.0,47.16077041,-120.84830474,19.77,93893.08,637.99,42.45,
67771,2021,9,25,17,27,3,4.37,7,1.86,648.20,0.0,0.0,47.16076660,-120.84830474,19.77,93893.86,637.92,42.58,
68774,2021,9,25,17,27,4,4.37,7,1.86,647.80,0.0,0.0,47.16076660,-120.84830474,19.75,93896.90,637.65,42.32,
69779,2021,9,25,17,27,5,4.37,7,1.86,647.50,0.0,0.0,47.16076660,-120.84830474,19.75,93893.35,637.97,42.27,
70782,2021,9,25,17,27,6,4.37,7,1.86,647.20,0.0,0.0,47.16076278,-120.84830474,19.75,93888.99,638.35,42.52,
71787,2021,9,25,17,27,7,4.40,7,1.86,647.10,0.0,0.1,47.16076278,-120.84830474,19.71,93895.30,637.79,42.02,
72790,2021,9,25,17,27,8,4.37,7,1.86,647.20,0.0,0.1,47.16076278,-120.84829711,19.70,93892.89,638.01,42.26,
73794,2021,9,25,17,27,9,4.37,7,1.86,647.50,0.0,0.1,47.16076660,-120.84830474,19.72,93898.33,637.53,42.24,
74798,2021,9,25,17,27,10,4.40,7,1.86,647.80,0.0,0.0,47.16076660,-120.84830474,19.69,93891.32,638.15,42.45,
75804,2021,9,25,17,27,11,4.40,7,1.86,648.00,0.0,0.0,47.16076660,-120.84830474,19.73,93897.67,637.58,42.92,
76808,2021,9,25,17,27,12,4.37,7,1.86,648.10,0.0,0.1,47.16076660,-120.84830474,19.73,93892.78,638.02,42.57,
77813,2021,9,25,17,27,13,4.37,7,1.86,647.80,0.0,0.1,47.16076660,-120.84830474,19.71,93890.55,638.21,41.69,
78817,2021,9,25,17,27,14,4.37,7,1.86,648.20,0.0,0.1,47.16076660,-120.84830474,19.71,93892.27,638.06,41.63,
79822,2021,9,25,17,27,15,4.37,7,1.86,649.00,0.0,0.2,47.16077041,-120.84830474,19.68,93894.61,637.86,40.69,
80827,2021,9,25,17,27,16,4.40,7,1.86,649.40,0.0,0.1,47.16077041,-120.84830474,19.68,93895.01,637.82,40.05,
81832,2021,9,25,17,27,17,4.37,7,1.86,649.40,0.0,0.1,47.16077041,-120.84830474,19.70,93889.86,638.28,39.92,
82837,2021,9,25,17,27,18,4.37,7,1.86,649.60,0.0,0.1,47.16077041,-120.84831237,19.69,93888.28,638.42,40.11,
83838,2021,9,25,17,27,19,4.37,7,1.86,649.40,0.0,0.1,47.16077041,-120.84831237,19.68,93891.98,638.09,40.20,
84843,2021,9,25,17,27,20,4.37,7,1.86,649.20,0.0,0.5,47.16077041,-120.84831237,19.66,93896.17,637.72,39.98,
85849,2021,9,25,17,27,21,4.37,7,1.86,649.30,0.0,0.5,47.16077423,-120.84832000,19.66,93890.89,638.19,40.13,
86852,2021,9,25,17,27,22,4.40,7,1.86,650.00,0.0,0.5,47.16078186,-120.84832763,19.67,93889.05,638.35,42.81,
87857,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.65,93890.64,638.21,44.40,
88859,2021,9,25,17,27,23,4.40,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.66,93890.89,638.19,44.44,
89864,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.66,93889.97,638.27,44.58,
90866,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.65,93895.38,637.79,45.93,
91871,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.63,93890.08,638.26,45.80,
92873,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.60,93892.30,638.06,44.26,
93878,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.55,93894.88,637.83,42.85,
94880,2021,9,25,17,27,23,4.40,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.50,93890.38,638.23,41.89,
95884,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.49,93888.39,638.41,40.70,
96886,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.52,93894.10,637.90,40.29,
97891,2021,9,25,17,27,23,4.37,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.53,93889.88,638.28,40.40,
98893,2021,9,25,17,27,23,4.40,7,1.86,650.40,0.0,0.5,47.16078567,-120.84832763,19.51,93890.64,638.21,40.09,
99898,2021,9,25,17,27,35,4.40,7,1.86,650.40,262.5,0.6,47.16077423,-120.84840393,19.54,93892.90,638.01,39.88,
100904,2021,9,25,17,27,36,4.37,7,1.86,650.40,262.5,0.2,47.16077423,-120.84841156,19.58,93895.69,637.76,41.24,
101910,2021,9,25,17,27,37,4.40,7,1.86,650.40,269.5,0.7,47.16077423,-120.84841156,19.50,93890.90,638.18,40.66,
102916,2021,9,25,17,27,38,4.37,7,1.86,650.40,252.3,1.3,47.16077041,-120.84842681,19.47,93895.75,637.76,40.82,
103918,2021,9,25,17,27,39,4.37,7,1.86,650.40,200.2,1.2,47.16076278,-120.84843444,19.54,93897.25,637.62,42.33,
104923,2021,9,25,17,27,40,4.37,7,1.86,650.40,200.2,0.0,47.16075897,-120.84843444,19.58,93894.38,637.88,43.79,
105924,2021,9,25,17,27,41,4.37,7,1.86,650.40,200.2,0.1,47.16075897,-120.84843444,19.61,93891.24,638.15,41.88,
106930,2021,9,25,17,27,42,4.37,7,1.86,650.40,200.2,0.8,47.16075897,-120.84842681,19.62,93891.14,638.16,40.97,
107931,2021,9,25,17,27,43,4.40,7,1.86,650.40,169.4,1.2,47.16076660,-120.84841156,19.64,93891.69,638.11,43.04,
108937,2021,9,25,17,27,44,4.37,7,1.86,650.40,156.7,0.7,47.16076278,-120.84841156,19.60,93898.89,637.48,42.80,
109938,2021,9,25,17,27,45,4.40,7,1.86,650.40,166.8,0.6,47.16075897,-120.84841156,19.63,93894.96,637.82,42.56,
110939,2021,9,25,17,27,46,4.40,7,1.86,650.40,166.8,0.2,47.16075897,-120.84841918,19.66,93892.61,638.03,42.85,
111941,2021,9,25,17,27,48,4.40,7,1.86,650.40,166.8,0.8,47.16076660,-120.84842681,19.64,93893.80,637.93,43.50,
112946,2021,9,25,17,27,49,4.40,7,1.86,650.40,166.8,0.8,47.16077423,-120.84842681,19.67,93894.22,637.89,42.77,
113948,2021,9,25,17,27,50,4.34,7,1.86,650.40,166.8,0.5,47.16077041,-120.84842681,19.71,93892.27,638.06,42.91,
114953,2021,9,25,17,27,51,4.37,7,1.86,650.40,166.8,0.3,47.16076278,-120.84842681,19.72,93892.92,638.00,43.24,
115955,2021,9,25,17,27,52,4.40,7,1.86,650.40,166.8,0.2,47.16076278,-120.84842681,19.76,93888.86,638.37,43.35,
116956,2021,9,25,17,27,53,4.37,7,1.86,650.40,166.8,0.2,47.16075897,-120.84842681,19.79,93887.43,638.49,42.32,
117959,2021,9,25,17,27,54,4.37,7,1.86,650.40,166.8,0.3,47.16076278,-120.84842681,19.81,93892.30,638.06,41.69,
